Title,Company,Category,Remote,Seniority,Bottom salary,Top salary,Must haves,Nice to haves
Machine Learning Engineer (Python+Airflow +Azure),1dea,AI,1,Senior,25200,27720,"Python,MLOps,Apache Airflow,Flask,FastAPI,gRPC,NoSQL,GraphQL,PySpark,NLP,MLflow","Azure Pipelines,CI,Kubernetes,TensorFlow,Torch"
Remote Mid DevOps Engineer,Kellton Poland sp. z o.o.,DevOps,1,Mid,18000,24000,"Python,Linux,Ubuntu,Docker,Terraform,CI/CD,Kubernetes",
Machine Learning Engineer (NLP & LLM),Tooploox,AI,1,Mid,13000,18000,"Python,Machine learning,Deep learning,Natural language processing",LLM
Software Development Manager - Machine Learning,Tesco Technology,Data,0,Expert,28000,40000,"Team management,Machine learning,Apache Spark,Data science,Kanban,Distributed computing,Microservice architecture,Degree,CAN,Communication skills",
Junior Linux Administrator,Akademia Górniczo-Hutnicza,Sys. Administrator,0,Junior,7000,10000,"Linux,Virtualization,Bash,Git,Ansible,Docker,VMware","Python,GitLab,Bitbucket,Fortinet"
Head of IT Operations and Support,2021.AI,IT Support,1,Expert,21661,29026,"ITIL,DevOps,AI,Open source,Kubernetes,Azure,GCP,AWS,Prometheus,Operating system,Linux,Python,Docker,Ansible,Terraform,Degree,Data science,Big Data,Machine Learning",
Junior DevOps Engineer,Appstronauts,DevOps,1,Junior,8400,11760,"GitLab,CI CD,Docker,Kubernetes,Infrastructure as Code,Terraform,Ansible,Prometheus,Grafana,ELK Stack,Cloud computing,AWS,Azure,GCP,Scripting language,Python,Bash,SAST,DAST,OWASP,Azure DevOps","Red Hat Certified Engineer,HashiCorp"
Junior Oracle Database Developer,DataFuze,Data,0,Junior,7560,11088,"SQL,PL/SQL,Oracle,Relational database","Apex,Airflow,ETL,Python"
ETF Data and Quant Analyst,ETFbook,Business Analysis,1,Junior,7500,12000,"Data analytics,Python","Python,Finance"
Site Reliability Engineer,SHEIN,DevOps,0,Senior,,,"Kubernetes,CI/CD,Python,Middleware,Degree","Docker,Go"
Security Tooling Engineer II,Box Inc.,Security,0,Mid,14500,17700,"2-3 years experience,Cloud platform",InfoSec field
BI Developer,Margo Consulting Sp. z o.o.,Business Intelligence,0,Mid,18480,25200,"PowerBI,VBA,BI,Degree,DAX,SQL Server,T-SQL,Oracle,SSIS,SSRS,Visual Studio,Snowflake,MS Excel,Alteryx","Power BI Service,Python,Microsoft SSAS,Multi-dimension modelling"
Software Engineer - Business Systems - Remote,Phorest,Backend,1,Mid,19854,27076,"Java,JVM,REST API,CI/CD,Design Patterns,SQL","Docker,AWS,Big data,Python,Kotlin,Kafka"
Administrator baz danych,Ekoenergetyka Polska S.A.,Sys. Administrator,1,Mid,,,"Linux,Windows,TCP,Bash,Python,Apache2,Nginx,Zabbix,Nagios Core,SSL,PostgreSQL,MySQL,Driving license",
ETL / PowerBI / Data Engineer - Remote,Sofomo,Data,1,Mid,14000,18000,"PowerBI,ETL,SQL,Azure","Python,Data engineering"
Junior Networking Engineer,Mindpal,Telecommunication,1,Junior,8400,11760,"TCP/IP,Ethernet,Git,Visual Studio,ISO,OSI,TCP,UDP,Protocols","C++,C,Python"
Senior AI & Math CUDA (C++) Developer,Camino Science sp. z o.o.,AI,1,Senior,16000,19000,CUDA (C++),"Machine learning,Python,TensorFlow,Applied Mathematics,Dorobek Naukowy,Tworzenie Architektury AI ""from the scratch"",Łatwość w automatyzacji,Doktorat z matematyki stosowanej,PhD"
Full Stack NextJS Developer,SynergyAI,Fullstack,1,Mid,14000,19000,"Next.js,React,Node.js,PostgreSQL,TypeScript,JavaScript,SQL,HTML5,CSS,REST API","Express,Docker,MongoDB,Go,Python,Solidity"
Junior Embedded Developer with C,Cognitum Services SA,Embedded,1,Junior,9072,11928,"C,Python,ARM",
Inżynier ds. Weryfikacji Systemowej,Sieć Badawcza Łukasiewicz – Instytut Lotnictwa,Automation,0,Mid,7500,12000,C,"Ethernet,Python,C++,DOORS"
Informatica Cloud & ETL Developer (IICS),plantecs Sp. z o.o.,DevOps,1,Mid,17000,22000,"Informatica,ETL","Jira,Python,DevOps"
Inżynier Niezawodności,Sieć Badawcza Łukasiewicz – Instytut Lotnictwa,Mechanics,0,Mid,8000,12000,"MS Office,Excel","Python,R,VBA"
AI & Math CUDA (C++) Developer,Camino Science sp. z o.o.,AI,1,Mid,12000,16000,CUDA (C++),"Machine learning,Python,TensorFlow,Applied Mathematics,Dorobek Naukowy,Tworzenie Architektury AI ""from the scratch"",Łatwość w automatyzacji,Doktorat z matematyki stosowanej,PhD"
Data Engineer (GCP),Connectis_,Data,0,Senior,26000,31000,"GCP,Machine learning,AI,Python,SQL",
Frontend Developer,plantecs Sp. z o.o.,Frontend,1,Senior,15000,18000,"TypeScript,HTML,CSS,UI",Python
Technical Lead (Backend Development),itCraft,Backend,1,Expert,27293,30326,"Azure,NoSQL,SQL,IaaC,Microservices",
Test Engineer,UBIQUITY SERVICE,Testing,0,Junior,5500,6500,"Python,Test case,User Interface,Bluetooth,Wi-Fi,BSD,ELK Stack,Wireless,Driver's license,Communication skills,Android",
DevOps Engineer,Avenga,DevOps,1,Mid,15120,21840,"Kubernetes,Terraform,Python,GCP,Jenkins,CI",
Application Security Tooling Engineer III,Box Inc.,Security,0,Mid,20500,25500,"DevSecOps Experience,Security tools,OWASP knowledge,Frontend/API focus,Application security",
Kotlin & Java Software Engineer,hyperexponential,Backend,0,Mid,20000,25000,"Java,Kotlin","AWS,Cloud,Hibernate,Spring,Spring Framework"
AWS DevOps/Linux Engineer,ComScore (via CC),DevOps,1,Mid,12000,18000,"Linux,Git,Bash,HTTP","Docker,Python,AWS,Terraform,Kubernetes,Cassandra,Elasticsearch"
Senior Front-End Engineer,Sportradar,Frontend,1,Senior,,,"UI,React,CSS,JavaScript,Redux,HTML,TypeScript,Python,SQL,MySQL,Testing,Cypress,Selenium,AWS,API Gateway,AWS Lambda,Amazon SQS,Apache Aurora,AWS S3,Security,UX,Communication skills","API,SonarQube"
Senior Analytics Engineer (Looker),GetInData | Part of Xebia,Data,1,Senior,21840,30240,"Looker,Python,BI tools,GCP,Spark",
Junior DevOps Engineer,Apius Technologies S.A.,DevOps,0,Junior,7000,9000,"Linux,Unix,DevOps,GitLab,Docker,Bash,Terraform,Ansible","Kubernetes,AWS,Azure,Grafana,Prometheus,Zabbix,Gitlab CI/CD"
"Senior Software Engineer, Relay",Box Inc.,Backend,0,Senior,30000,35000,"5+ years of experience,Java,web development framework","PHP,Python,public cloud systems,messaging infrastructure,open source project"
"Senior Software Engineer, Desktop Applications",Box Inc.,Backend,0,Senior,30000,35000,"C++,C#,5 years of experience","Python,Objective-C"
Remote Fullstack Developer,Gett,Fullstack,1,Senior,25903,27522,"backend language experience,server-side application experience,database design,Node.js,React,SPA,Redux,Golang","Golang,MySQL,HTML,CSS,Ruby"
Junior Quadient Integrator,Quertum,Fullstack,0,Junior,6000,7000,"XML,Java","JavaScript,Python,Ruby,Quadient"
Senior Data Engineer (1295),N-iX,Data,1,Senior,15380,23474,"Docker,Kubernetes,Cloud Native,Python,Data engineering,ETL,Kafka,Kinesis,Spark,Scala,TypeScript,Java","Open source,Data science,MLOps,Kotlin,GCP,AWS,Azure,MSSQL,Terraform"
Principal Software Engineer (Java / Kotlin/ AAOSP),HERE Technologies,Backend,1,Expert,33600,42000,"Java,Kotlin,Android","Problem solving,AWS,ECS,AWS ECS,AWS EC2,AWS S3,Amazon RDS,Virtualization,Docker,Python,C++,AOSP"
Remote Golang Developer,Antal,Backend,1,Mid,25200,30240,Golang,
JavaScript FullStack Developer,OEX Voice Contact Center,Fullstack,1,Mid,9000,10750,"JavaScript,Vue.js,React,CSS,Tailwind,Python,Bash,Git,Linux,Docker,Ch",
Data Platform Engineer/Consultant - Team Leader,Elitmind,Data,1,Mid,17976,24024,"SQL Server,SSIS,ETL,Data warehouse,Team management,SQL","Python,Snowflake,Databricks,Azure"
Senior Software Engineer (Telco Industry),Emerge Soft Sp. z o.o.,Telecommunication,1,Senior,25000,27000,"C,C++,SIP","Python,Unix,Linux,Analytical skills,Kamaiilio"
Senior Engineering Manager - DevOps,RTB House,DevOps,1,Senior,40000,47000,"DevOps,GCP,Kubernetes,GitHub,Gerrit,Terraform,Python,Bash,Leadership skills",
DevOps Engineer,Raiffeisen Tech,DevOps,0,Mid,23100,31500,"DevOps,Docker,Kubernetes,AWS,Networking,Load balancing,Python,CI/CD","Git,Java"
Staff Software Engineer (PHP),ShiftKey,Backend,1,Expert,23000,26000,"PHP,SQL,AWS",Python
Data Platform Engineer/Consultant,Elitmind,Business Intelligence,1,Mid,13944,19992,"English,SQL,ETL,Azure","Databricks,Snowflake,Python,Data Modelling skills"
Senior Test Automation Engineer IV,OpenX,Testing,1,Senior,27888,32088,"Test automation,CI,CD tools,Spinnaker,Jenkins,Python,Java,cloud,Backend","Cypress,UI testing,GCP,Kubernetes,Docker"
Remote Embedded C/C++ Developer,int2code GmbH,Embedded,1,Mid,20160,33600,"Linux,Git,Embedded,C/C++,RTOS,C","Automotive,QNX,Docker,Yocto,Python,AUTOSAR,Bazel,LDRA,UDS,SPICE"
Mid Manual Tester,Focal Systems,Testing,1,Mid,12000,16000,"SQL,Product development,Data science,Product design,User research,Test case,QA,Web applications,Jira,Communication skills,API,Postman","Python,Linux,Bash,Version control system,GitHub"
Senior Data Analyst,hubQuest,Data,1,Senior,20000,26000,"SQL,Power BI / Tableau,Python / R,Data analysis",
Remote Senior Data Engineer,Varwise,Data,1,Senior,30355,40474,"Spark,AWS,Linux,NoSQL,SQL,Kafka,Java,Scala,AWS Lambda,Glue,Athena,Cassandra,Neo4j,Databricks,PySpark","Kinesis,Airflow,Jenkins,Datadog,Python,TensorFlow"
Linux Developer,Hitachi Energy,Sys. Administrator,0,Senior,15000,20000,"Linux,Git,Yocto,Azure,Bash,Python,C",
eCRM Intern (Analityk Kampanii),They.pl,Marketing,0,Trainee,4500,5500,"MS Office,Excel,PowerPoint","HTML,CSS,SaaS,CMS,SQL,Big Data,Python,MIESI"
Młodszy inżynier wsparcia technicznego,ESMETRIC Group Sp. z o.o.,Telecommunication,0,Junior,6000,8000,,"OSI,Linux,Python,Wireshark,TCP/IP,Testing"
Technical Account Manager New Products,RTB House,Other IT,1,Mid,10000,13000,"HTML,JavaScript,Python,Excel,Google Analytics,Communication skills",
DevOps Engineer II,Jamf,DevOps,1,Mid,14000,20000,"Jenkins,Continuous integration,ArgoCD,GitHub,Kubernetes,Amazon Web Services,Infrastructure as Code,Terraform,CloudFormation,Operating system,Linux,Forecasting,Git,Subversion,Python","Golang,Software Development Life Cycle,ELK Stack,MySQL,AWS DynamoDB"
Inżynier Infrastruktury,AVENGA,DevOps,0,Mid,18480,23520,"Linux,RHEL,SQL,PostgreSQL,Python,Kubernetes,Continuous integration,Git,Ansible",
Młodszy inżynier ds. wdrożeń,ESMETRIC Group Sp. z o.o.,Electrical Engineering,0,Junior,6000,8000,,"OSI,Linux,Python,SQL"
Backend Engineer (Java/Kotlin/AWS),Capco Poland,Backend,1,Senior,30240,31920,"Kotlin,Java,Terraform,AWS,Git,Continuous integration,Degree,Infrastructure as a Code,Communication skills",Python
Azure DevOps Engineer with German,Spyrosoft,DevOps,0,Senior,26880,31920,"Azure,Python,Jenkins",
Managed Cloud OpenShift Engineer,Nordcloud,DevOps,1,Mid,13000,20000,"OpenShift,L2,Helm Charts,Ansible,Bash,IaC,Git,RHEL,Red Hat OpenShift,IBM,Storage","CD pipeline,Networking,DevOps,SRE,Red Hat"
Senior Linux Engineer (SRE),Akamai,DevOps,1,Senior,19000,20000,"Linux,Python/Golang,Terraform/SaltStack/Ansible",
Security Software Principal Engineer (C/C++),Dell Technologies,Backend,0,Senior,22600,27250,"C++,Linux,C,Storage","SAS,Python"
SysOps Engineer,Naviteq,DevOps,1,Senior,24284,28331,"k8,WebLogic,Oracle,Ansible,PowerShell,Python,Bash",
Senior Network Reliability Engineer,Akamai,DevOps,1,Senior,19000,20000,"Jenkins,GitHub Actions,Jenkins, Github Actions, or similar,Ansible, Salt Stack, Chef, Puppet, or si,Linux networking,Python, Bash, Go, Rust, or similar,Prometheus, Grafana, Loki, ELK",
Devops/SRE- 100% remote,AVENGA,DevOps,1,Mid,21840,28560,"Kubernetes,Terraform,Jenkins,Docker,Ansible","Go,Python,GCP"
Senior Data Engineer,SNI,Data,1,Senior,26880,33600,"Cloud,SQL Server,Azure Data Factory,Azure,Databricks,SQL,BI,Spark,Python,MONGO,.NET",
BI Developer/Analyst,OpenX,Business Intelligence,0,Mid,21168,25200,"BI,Analytical skills,Data modeling,Communication skills,SQL,Cloud,Visualization tools","Python,BigQuery"
Senior Data Scientist,SKY ENGINE AI,AI,0,Senior,20000,28000,"Computer vision,Segmentation,Machine Learning,Deep learning,Python,scikit-learn,NumPy,pandas,PyTorch,TensorFlow,Keras","MLOps,Generative AI,OpenCV,AI,Data visualization"
DevOps Infrastructure Engineer,Adaptiq,DevOps,1,Senior,26308,27522,"Linux,k8,OCP,WebLogic,WebSphere Application Server,troubleshooting,Python,Bash script",
Senior/Lead Embedded Software Engineer,Sopra Steria Poland,Embedded,1,Senior,16800,25200,"Embedded C,Unix","Jenkins,Jira,Shell,Python,Git"
CG Supervisor,SKY ENGINE AI,Game Development,0,Mid,18000,20000,"Blender,Maya,Animation,Project management",Python
Head of Pipeline,SKY ENGINE AI,Game Development,0,Mid,12000,17000,"Blender,Python,shotgrid","API,Jira,Confluence"
Senior Software Engineer - Enablement / Platform,hyperexponential,Backend,0,Senior,27000,33000,Python,"AWS,Cloud,CI/CD,Golang,Rust,Docker,Sumo Logic,SonarQube,Grafana,Prometheus"
Network Operation Center Engineer,Ework Group,Telecommunication,0,Senior,29113,32024,"Cisco,SDA,TCP/IP,VPN,LAN, WAN,Switches,Routing,Cisco devices",
Programista PLC/SCADA,ARA Przedsiębiorstwo Automatyki Przemysłowej Sp. z o.o.,Automation,0,Senior,7000,12000,"PLC Programming,HMI Programming,SCADA,WinCC,Profinet,MODBUS,Siemens,Allen-Bradley,AVEVA System Platform,Ethernet/IP,Profibus","Robotic process automation,DCS,PCS7,PlantPAx,Brewmaxx,Braumat,Botec,C#,Python,SQL"
Senior DevOps Engineer,Mend.io,DevOps,1,Senior,30355,32379,"DevOps,AWS,Azure,infrastructure automation,Configuration management database,Container","Python,CI/CD Pipelines,Microservices,Jenkins,GitHub Actions,Terraform,ArgoCD,Helm"
Test Engineer,EG EXTENSA,Electronics,0,Mid,8700,9400,,"Python,NI LabView,NI TestStand,Data base,Machine Vision,Prawo jazdy"
Senior Software Quality Engineer,Hitachi Energy,Backend,0,Senior,17000,22000,"Degree,C++,C#,Python,JavaScript,Visual Studio,Azure DevOps,Jenkins,Atlassian,SonarQube,Test automation,Google Test,Protocols,Analytical skills",
IT System Administrator,AYP Sp. z o.o.,Sys. Administrator,0,Mid,,,"SQL,Python,ERP IMPULS,R,Power BI",
Senior C#/.NET Developer,First Derivative,Backend,0,Senior,28560,36960,"C#,SQL Server,.NET Core,Git,SVN,.NET Framework,NUnit,Entity Framework,.NET","Python,Azure,Blob Storage"
Senior SOC Analyst,Appfire,Security,1,Senior,14000,18000,"Security,Cloud,Degree,AWS,Azure,Heroku,GCP,EDR,CIS,NIST,ISO,Communication skills,CISSP,Splunk,Python,Sumo Logic,Qradar","SentinelOne,Proofpoint"
Lead Big Data Engineer (AWS),SoftServe,Data,0,Expert,25000,30000,"AWS,Python,Scala,Java,SQL,Apache Spark,Databricks,Flink,MWAA,Apache Airflow,Apache Kafka,MSK,Kinesis,Amazon Redshift,Snowflake",
Data Engineer,AVENGA,Data,1,Mid,16800,20160,"Data management,SQL,Informatica,Python",
Linux Administrator,Akademia Górniczo-Hutnicza,Sys. Administrator,0,Mid,7000,10000,"Linux,Virtualization,Bash,Git,Ansible,TCP/IP,Docker,VMware,VPN","Python,GitLab,Bitbucket,Fortinet"
Data Engineer (0.5 FTE),AVENGA,Data,1,Mid,16800,20160,"Data management,SQL,Informatica,Python",
Back End Developer,Hitachi Energy,Backend,0,Senior,14000,19000,".NET,IoT,.NET Core,Microservices,Excel,Kubernetes,Docker,REST API,API,Linux,TDD,Azure DevOps,SQL,Git,Team work,SDLC,Degree,C#, .Net Core","Windows,TypeScript,CSS,Entity Framework,Python"
Senior DevOps Engineer,Hitachi Energy,DevOps,0,Senior,19000,25000,".NET,Degree,Azure DevOps,Git,PowerShell,Virtualization,Microsoft Azure,Google Cloud Platform,Linux,Windows,Bash",Python
Middle Fullstack Developer - 100% remote,AVENGA,Fullstack,1,Mid,20160,21840,"React,Python,Django,GraphQL,Salesforce,Communication skills",
Junior Security Operations Engineer - Remote,7N,Security,1,Junior,20160,25200,"SIEM,OWASP,MITRE ATT&CK,NIST,Python,macOS,Unix,AWS,GCP,Kubernetes",
Power Platform Solution Architect,Avanade Poland,Business Analysis,1,Expert,30240,40320,"Power Platform,D365,SharePoint,Microsoft Azure,Python,C#,Web development,JavaScript","DevOps,Power BI"
Mid C++ Engineer,Link Group,Backend,0,Mid,15000,25000,"C++,Bash,Linux,Python",Agile
Network Security Engineer (Web Proxies),Devire,Sys. Administrator,0,Senior,23520,28560,"Network Security,Gateway,Linux,Proxy,CLI,Protocols,Wireshark,TCP,CCNP,CISSP,Windows,ITIL,Jira,Kanban","Cloud security,Python,Degree"
Remote Java Developer (with AWS),SquareOne,Backend,1,Senior,21840,26880,"Java,Spring,AWS,Microservices","DDD,NoSQL,Python,Machine learning"
Quantitative Researcher - Blockchain,Chorus One,Data,1,Mid,37101,43846,"Quantitative research,Blockchain,Data analysis,Ethereum,Python,SQL,Golang,Rust,Crypto,Blockchain Research,PhD,Quant Research,MEV,Staking",
Platforms Engineer,Chorus One,DevOps,1,Senior,28882,54153,"Linux,Networks,Network configuration,Kubernetes,Terraform,Salt,Ansible,Networking,CAN","Python,Golang,Rust,Degree"
Mid JavaScript Engineer III,OpenX,Frontend,1,Mid,23352,27552,"JavaScript,Typescript,React,Material UI,AWS","Node.js,GCP,Python,Golang"
Data Engineer,Remitly Poland sp. z o.o.,Data,0,Mid,20000,23000,"AWS,Data engineering","AWS S3,Python,Scala,Golang,Hadoop,Redshift,Kinesis,SQS,SNS,Athena,BigQuery,GCP,Kubernetes,Docker,Glue"
DevOps Engineer,Boldare,DevOps,0,Senior,18000,26000,"DevOps,Kubernetes,GitLab,CI/CD,Git,Terraform,ArgoCD,GitOps,PostgreSQL,Prometheus,Loki,Grafana,Ansible,Nginx,Cloudflare","Go,Python,JavaScript,Java,PHP,Ruby"
Senior Go Developer Remote,Superdevs,Backend,1,Senior,25200,30240,"Golang,Python,Kubernetes","Security,MQTT,Open API,Protobuf"
DevOps Engineer,Appfire,DevOps,1,Mid,13000,18300,"DevOps,Degree,Java,Python,AWS,AWS EC2,ELB,Amazon RDS,Route53,Jenkins,Docker","Kubernetes,GCP,IaC,Terraform,Ansible,ELK Stack,Grafana"
Junior Devops,Lotnicze Pogotowie Ratunkowe,DevOps,0,Junior,7000,12000,"DevOps,CI/CD,Docker,Kubernetes,Grafana,WildFly,REST API,YouTrack,GitLab,Prometheus,Elasticsearch,Git,Java","SQL,PostgreSQL,Redis,MongoDB,Oracle DB,Python,Java,JBoss"
Senior Software Engineer in Test (Backend),Snowflake,Testing,0,Senior,30000,60000,"Python,Java,C++,Test automation,Continuous integration,Git,Continuous deployment,Jenkins,SQL",Docker
AI Consultant,Spyrosoft,AI,0,Expert,26880,33600,"AI,Machine Learning,Computer vision,Python,consulting",Generative AI
Specjalista / Specjalistka ds. aktuarialnych,UNIQA Polska,Finance,0,Senior,,,"Excel,SQL",Python
"Senior Software Engineer, Partner Integrations",Box Inc.,Backend,0,Senior,30000,35000,"5+ years of experience,Java","Java,Node.js,React.js,Kubernetes,PHP"
Senior Software Developer,HSBC Technology Poland,Fullstack,0,Senior,23000,28000,".NET CORE,C#,Web Api,SQL Server,T-SQL,Git,Shell,Python,Data engineering,ETL,Data modelling,Quality assurance,DevOps,Continuous integration,Continous delivery",
Remote Senior Embedded Developer,Conclusive Engineering Sp. z o.o.,Embedded,1,Senior,20000,30000,"C,POSIX,Git,Kernel internals,Build automation,Bare-metal","C++,Rust,Go,Python"
Remote SIEM / SOAR Automation Engineer,CodiLime,Security,1,Mid,8000,15000,"Cybersecurity,Scripting language,Python,Bash,Security,SOAR,SIEM,Automation","Palo Alto,Cortex XSIAM,Version Control System"
Cloud Architect (Infrastructure),Elitmind,Architecture,1,Senior,24024,31920,"Cloud Architecture,DevOps,Docker,Kubernetes,Python,Storage,Networking,Cloud Native,Public cloud,Azure,High availability,Continuous integration,Scripting language,Continuous deployment,CD","Azure,Ruby,PowerShell,CAF,SQL,Microsoft Certification,Microsoft Azure,IAM,Azure DevOps"
Software Developer,HSBC Technology Poland,Backend,0,Senior,20000,25000,".NET CORE,C#,Web Api,SQL,T-SQL,Shell,Git,Python,Data engineering,ETL,Data modelling,Quality assurance,DevOps,Continuous integration,Continous delivery,.NET",
Pipeline Mapping R&D engineer,i2i Pipelines,Electronics,0,Mid,10000,15000,"R,MATLAB,Python,IMU,Cortex-M","C,C++,Data analysis"
DevOps Team Leader - AWS - Remote,Link Group,DevOps,1,Senior,30000,32000,"DevOps,AWS,Communication skills,Analytical skills,Agile,SRE,Kubernetes,Terraform,CI/CD,GitHub Actions,Concourse CI,Jenkins,CircleCI,Linux,Scripting language,Bash,Python,Network protocols",
Machine Learning Developer,Daily Dose of Beauty sp. z .o.o.,AI,1,Senior,17000,20000,"C++,Python","TensorFlow,PyTorch"
Senior DevOps Engineer - AWS - Remote,Link Group,DevOps,1,Senior,26800,28500,"AWS,Kubernetes,Go, Ruby, Python, Erlang, or Java,Linux,Infrastructure as Code,Terraform,Microservices,Communication skills",
Senior Remote AI Engineer,Strategic Staffing Solutions,AI,1,Senior,25200,30240,"Degree,Machine learning,Open AI,Google AI,Azure AI,Python,Java",
DevOps Engineer,NetworkedAssets Sp. z o.o.,DevOps,0,Mid,13000,22000,"AWS,CI/CD,Terraform,Ansible,Linux,Python,Kubernetes",TypeScript
Embedded Systems Tester/QA Engineer,AIUT,Embedded,0,Mid,7800,10800,"C++,C,C#","SQL,Python"
Ruby / Ruby on Rails - Backend Engineer,Knowde,Backend,1,Senior,18000,25000,"Ruby,Ruby on Rails,SQL,Web service","Elasticsearch,AWS,Python,Golang"
Administrator Systemów Linux,Unity-T Group,Sys. Administrator,0,Mid,10000,15000,"Linux,RHEL,CentOS,TCP,IP,Postfix,Dovecot,Tomcat,HTTPD,Nginx,HAProxy,Bash,Python","PostgreSQL,MySQL,Citrix Systems,Samba,OpenLDAP,MongoDB,Gradle,Squid,Puppet,Ansible"
Quantitative Research Analyst,Chorus One,Business Analysis,1,Mid,30355,37101,"Protocols,Quantitative research,Blockchain,Data analysis,Ethereum,Python,SQL,Golang,Rust,Crypto",
Tier 3 Support Engineer,Codete,Other IT,1,Mid,16800,20160,"Communication skills,Docker,Kubernetes,Java,Python,Operating system,Networking,Protocols,Cloud",
Senior Data Engineer (Azure),GetInData | Part of Xebia,Data,1,Senior,26880,33600,"Python,Databricks,Kafka,Git,Airflow,Docker,Terraform,CI/CD,Microsoft Azure,Azure DevOps",
Storage Engineer,Object First,Sys. Administrator,1,Mid,11000,15600,"VMware vSphere,Storage,SAN,NAS,Ubuntu Server,Bash,PowerShell,RAID","mdadm,Veeam Backup & Replication.,Python,pytest,Amazon S3,AWS CLI,Hyper-V, KVM skills,CI/CD (TeamCity/Jenkins)"
Embedded Software Engineer,JPEmbedded,Embedded,0,Mid,12000,17000,"C,C++,Python","FreeRTOS,Linux,Proactivity,Communication skills,Problem solving"
System and Network Admin - Remote,CodiLime,Sys. Administrator,1,Mid,10500,18500,"Linux,AWS,Problem-solving skills,system administration,Network management,Communication skills","Python,Ansible,Terraform,Atlassian Stack,Jira,Confluence,Trello,Opsgenie,Zendesk,Git,PostgreSQL,Kubernetes"
"Senior Backend Engineer (Platform, Scala)",Zowie,Backend,1,Senior,20000,30000,"Scala,JVM,SQL,Critical thinking,Proactivity,Relational database,Distributed systems","NoSQL,MongoDB,Functional programming,Akka,Fs2,ZIO,Cats,Http4s,GraphQL,Docker,Kubernetes,Kafka,Python"
Senior IT Support Engineer,MANGOPAY,IT Support,0,Senior,20000,25000,"Okta,Google suite,Microsoft 365,Azure Active Directory,Slack,Atlassian products",
Test Automation Engineer,AffiniServices Kft (Affinitext Inc),Testing,1,Senior,20019,27805,"Python,Linux,GitLab,JavaScript,Playwright,Test case,ISTQB,Kanban,Test automation","PostgreSQL,Docker,Angular,Bash,Selenium,Java"
Staff ML Research Lead,RTB House,Project Manager,1,Expert,46000,62000,"Team management,Python,Machine Learning Model Operationalization Management",
Senior Frontend Developer,"Dunning, Kruger & Associates Sp. z o.o.",Frontend,0,Senior,21840,30240,"TypeScript,React,Redux,Git","Python,Java,Open API,RTK Query"
Senior DL Performance Infrastructure & MLOps Eng.,NVIDIA,AI,1,Senior,,,"Degree,Deep learning,PyTorch,JAX,GPU,CI/CD,GitLab,Docker,Python,C++,CUDA",
