Title,Company,Category,Remote,Seniority,Bottom salary,Top salary,Must haves,Nice to haves
Senior Data Engineer,Showpad,Data,1,Senior,22000,35000,"Data Lake,SQL,Python,ETL,dbt,Data visualization,Communication skills",
Frontend Developer,plantecs Sp. z o.o.,Frontend,1,Senior,15000,18000,"TypeScript,HTML,CSS,UI",Python
Test Engineer,UBIQUITY SERVICE,Testing,0,Junior,5500,6500,"Python,Test case,User Interface,Bluetooth,Wi-Fi,BSD,ELK Stack,Wireless,Driver's license,Communication skills,Android",
Frontend Developer (with Vue),AVENGA,Frontend,1,Senior,20160,23520,"Vue.js,Nuxt.js,TypeScript,JavaScript,HTML,CSS,REST API","Python,PostgreSQL"
Cross Digitalization Specialist (MS PowerPlatform),ZF Group,Business Intelligence,1,Mid,10000,15000,"Degree,Power Platform,Power Automate","BI,Python,R"
Devops/Release Engineer,Reply Polska,DevOps,0,Senior,23520,33600,"Openshift,Azure Cloud,Kubernetes,Docker,AKS,Istio,Bash,Python,PowerShell,Ansible,Terraform,TLS,LDAP,OAuth,Spring Boot,Git,Azure DevOps,CI,CD tools,Maven,SonarQube,Jenkins",
Senior/Lead DevOps/System Administrator,GFT Poland,DevOps,0,Senior,20800,35280,"Linux,Unix,Windows,Scripting language,Bash,Python,C++,Networking,Storage","Git,Maven,TeamCity,Jenkins,Artifactory,Jira,Cloud,Google cloud"
Senior Linux System Engineer,Link Group,Sys. Administrator,0,Senior,26880,31920,"Linux,Red Hat,SAN,NAS,Puppet,Ansible,Python,OpenSVC","DevOps,Cloud"
Java Software Engineer,Emerge Soft Sp. z o.o.,Backend,1,Mid,21500,23500,"JEE,Docker,Kubernetes,JUnit,Java,Apache Kafka","Kotlin,JavaScript,Vue.js,Node.js,Python"
Senior Software Engineer - Cloud Engineering,Snowflake,Data,0,Senior,40000,80000,"Go,Cloud computing,Container,Terraform","AWS,Azure,GCP,Java,Python,C,Pulumi"
Senior Software Engineer - Developer Experience,Snowflake,Backend,0,Senior,30000,60000,Golang,"Python,C++,Java"
Remote Software Architect  - Senior,Link Group,Architecture,1,Senior,31920,33600,"Web,Android,iOS,MVC,MVVM,Web development,Angular,Ruby on Rails,ASP.net","Project management,Scrum,SAFe,Java,C++,c#,Python,PHP,Jenkins,Puppet,Ansible,Terraform"
Data Engineer (GCP),Connectis_,Data,0,Senior,26000,31000,"GCP,Machine learning,AI,Python,SQL",
Technical Lead (Backend Development),itCraft,Backend,1,Expert,27224,30249,"Azure,NoSQL,SQL,IaaC,Microservices",
Technical Support,Quod Financial,IT Support,0,Trainee,4034,8068,"Linux,SQL,PostgreSQL,MySQL,Perl,Python,Bash,CAN,Confluence,Jira,Kibana",
Senior Analytics Engineer (Looker),GetInData | Part of Xebia,Data,1,Senior,21840,30240,"Looker,Python,BI tools,GCP,Spark",
Data Engineer,SEB (Skandinaviska Enskilda Banken),Data,0,Mid,28000,32000,"CI/CD,Spark,Container","GCP,Scala,Java,Python,Spark,Kubernetes,Kafka,OpenShift,GitHub Actions,Cloud,Airflow"
Junior DevOps Engineer,Apius Technologies S.A.,DevOps,0,Junior,7000,9000,"Linux,Unix,DevOps,GitLab,Docker,Bash,Terraform,Ansible","Kubernetes,AWS,Azure,Grafana,Prometheus,Zabbix,Gitlab CI/CD"
Application Security Tooling Engineer III,Box Inc.,Security,0,Mid,20500,25500,"DevSecOps Experience,Security tools,OWASP knowledge,Frontend/API focus,Application security",
Kotlin & Java Software Engineer,hyperexponential,Backend,0,Mid,20000,25000,"Java,Kotlin","AWS,Cloud,Hibernate,Spring,Spring Framework"
Data Solution Developer,Acxiom GSC Polska Sp. z o.o.,Data,1,Junior,9500,17000,"SQL,MySQL,AWS",
AWS DevOps/Linux Engineer,ComScore (via CC),DevOps,1,Mid,12000,18000,"Linux,Git,Bash,HTTP","Docker,Python,AWS,Terraform,Kubernetes,Cassandra,Elasticsearch"
DevOps Engineer,Avenga,DevOps,1,Mid,15120,21840,"Kubernetes,Terraform,Python,GCP,Jenkins,CI",
C++ Software Developer,Intergraph Polska Sp. z o.o.,Backend,0,Senior,18000,28000,"C++,Design Patterns,Clean Architecture,Clean Code","OpenCV,Conan.io,Python,CI/CD,CMake,STL,Git"
Staff Data Steward,Digital Hub Warsaw at Bayer,Data,0,Senior,18000,28000,"SQL,NoSQL,Python,ETL,Cloud,Kafka,REST API,GraphQL,gRPC",Google cloud platform
"Senior Software Engineer, Desktop Applications",Box Inc.,Backend,0,Senior,30000,35000,"C++,C#,5 years of experience","Python,Objective-C"
Remote Pentester - Penetration tester,LogicalTrust,Security,1,Mid,8000,14500,"web applications,Security,Linux,Cybersecurity,Cryptography,Cloud security,Operating system,mobile applications,network,OWASP","Kubernetes,Python,Windows,OSCP,Kerberos"
Software Engineer - Data Platforms (Expert),VirtusLab,Data,1,Expert,26000,31000,"Big Data,Beam,Spark,SQL,Kubernetes,AWS,GCP,CI/CD,Java/Scala/Python,Java","Kafka,Airflow,BigQuery,Graph database,Vector database,HBase,Presto"
Wordpress Developer,Woo Agency,Fullstack,0,Mid,8000,11000,"WordPress,HTML5,PHP,JS,CSS,acf,gutenberg blocks,xd,Figma,Photoshop,WooCommerce,JavaScript","React,Python"
Senior Power Platform Developer,Avanade Poland,Business Analysis,1,Senior,25200,31920,"Power Platform,D365,SharePoint,Web development","Microsoft Azure,DevOps,C#,Python,Power BI,JavaScript"
Senior Data Engineer,Inter Cars S.A.,Data,1,Senior,23000,28000,"Degree,Data engineering,ETL,Data modeling,Python,Java,Scala,Big data,Hadoop,Spark,Storage,Relational database,SQL,HBase,Hive,Azure,GCP,Airflow,Kafka",
Data Platform Engineer/Consultant - Team Leader,Elitmind,Data,1,Mid,17976,24024,"SQL Server,SSIS,ETL,Data warehouse,Team management,SQL","Python,Snowflake,Databricks,Azure"
JavaScript FullStack Developer,OEX Voice Contact Center,Fullstack,1,Mid,9000,10750,"JavaScript,Vue.js,React,CSS,Tailwind,Python,Bash,Git,Linux,Docker,Ch",
Principal Software Engineer (Java / Kotlin/ AAOSP),HERE Technologies,Backend,1,Expert,33600,42000,"Java,Kotlin,Android","Problem solving,AWS,ECS,AWS ECS,AWS EC2,AWS S3,Amazon RDS,Virtualization,Docker,Python,C++,AOSP"
Network Security Engineer,Link Group,Security,0,Mid,25200,28560,"Network Security,TCP,DNS,VPN,IPS,Splunk,NIST,Cisco,Fortinet,Palo Alto",CISSP
Senior Software Engineer (Telco Industry),Emerge Soft Sp. z o.o.,Telecommunication,1,Senior,25000,27000,"C,C++,SIP","Python,Unix,Linux,Analytical skills,Kamaiilio"
"Senior Software Engineer, Relay",Box Inc.,Backend,0,Senior,30000,35000,"5+ years of experience,Java,web development framework","PHP,Python,public cloud systems,messaging infrastructure,open source project"
Remote Fullstack Developer,Gett,Fullstack,1,Senior,25818,27431,"backend language experience,server-side application experience,database design,Node.js,React,SPA,Redux,Golang","Golang,MySQL,HTML,CSS,Ruby"
Senior Data Engineer (1295),N-iX,Data,1,Senior,15329,23397,"Docker,Kubernetes,Cloud Native,Python,Data engineering,ETL,Kafka,Kinesis,Spark,Scala,TypeScript,Java","Open source,Data science,MLOps,Kotlin,GCP,AWS,Azure,MSSQL,Terraform"
Remote Golang Developer,Antal,Backend,1,Mid,25200,30240,Golang,
Junior Quadient Integrator,Quertum,Fullstack,0,Junior,6000,7000,"XML,Java","JavaScript,Python,Ruby,Quadient"
Remote Embedded C/C++ Developer,int2code GmbH,Embedded,1,Mid,20160,33600,"Linux,Git,Embedded,C/C++,RTOS,C","Automotive,QNX,Docker,Yocto,Python,AUTOSAR,Bazel,LDRA,UDS,SPICE"
DevOps Team Leader - AWS - Remote,Link Group,DevOps,1,Senior,30000,32000,"DevOps,AWS,Communication skills,Analytical skills,Agile,SRE,Kubernetes,Terraform,CI/CD,GitHub Actions,Concourse CI,Jenkins,CircleCI,Linux,Scripting language,Bash,Python,Network protocols",
DevOps Engineer,Raiffeisen Tech,DevOps,0,Mid,23100,31500,"DevOps,Docker,Kubernetes,AWS,Networking,Load balancing,Python,CI/CD","Git,Java"
Data Platform Engineer/Consultant,Elitmind,Business Intelligence,1,Mid,13944,19992,"English,SQL,ETL,Azure","Databricks,Snowflake,Python,Data Modelling skills"
Senior BigData Developer,ITDS,Data,0,Senior,16800,25200,"Big Data,Data warehouses,Data management,Python,Scala,Java,Hive,Kudu,HBase,Agile,Kafka,Apache Nifi,Ansible",Kubeflow
Senior Test Automation Engineer IV,OpenX,Testing,1,Senior,27888,32088,"Test automation,CI,CD tools,Spinnaker,Jenkins,Python,Java,cloud,Backend","Cypress,UI testing,GCP,Kubernetes,Docker"
Senior DevOps Engineer - AWS - Remote,Link Group,DevOps,1,Senior,26800,28500,"AWS,Kubernetes,Go, Ruby, Python, Erlang, or Java,Linux,Infrastructure as Code,Terraform,Microservices,Communication skills",
Mid Manual Tester,Focal Systems,Testing,1,Mid,12000,16000,"SQL,Product development,Data science,Product design,User research,Test case,QA,Web applications,Jira,Communication skills,API,Postman","Python,Linux,Bash,Version control system,GitHub"
Senior Data Analyst,hubQuest,Data,1,Senior,20000,26000,"SQL,Power BI / Tableau,Python / R,Data analysis",
Senior Engineering Manager - DevOps,RTB House,DevOps,1,Senior,40000,47000,"DevOps,GCP,Kubernetes,GitHub,Gerrit,Terraform,Python,Bash,Leadership skills",
Staff Software Engineer (PHP),ShiftKey,Backend,1,Expert,23000,26000,"PHP,SQL,AWS",Python
Senior Azure Data Engineer,Link Group,Data,1,Senior,23520,28560,"Azure Cloud,Databricks,SQL,Oracle,T-SQL,MySQL,Jira,Azure DevOps,Communication skills","Python,PySpark,Spark SQL,Business analysis"
DevOps Engineer,Appfire,DevOps,1,Mid,13000,18300,"DevOps,Degree,Java,Python,AWS,AWS EC2,ELB,Amazon RDS,Route53,Jenkins,Docker","Kubernetes,GCP,IaC,Terraform,Ansible,ELK Stack,Grafana"
Technical Account Manager New Products,RTB House,Other IT,1,Mid,10000,13000,"HTML,JavaScript,Python,Excel,Google Analytics,Communication skills",
Remote Senior Data Engineer,Varwise,Data,1,Senior,30255,40341,"Spark,AWS,Linux,NoSQL,SQL,Kafka,Java,Scala,AWS Lambda,Glue,Athena,Cassandra,Neo4j,Databricks,PySpark","Kinesis,Airflow,Jenkins,Datadog,Python,TensorFlow"
eCRM Intern (Analityk Kampanii),They.pl,Marketing,0,Trainee,4500,5500,"MS Office,Excel,PowerPoint","HTML,CSS,SaaS,CMS,SQL,Big Data,Python,MIESI"
Junior Fullstack Software Engineer,Beekeeper AG,Fullstack,0,Junior,11300,14250,"Java,JavaScript,TypeScript,Web technologies,Backend,Frontend","Python,Vue.js"
Linux Developer,Hitachi Energy,Sys. Administrator,0,Senior,15000,20000,"Linux,Git,Yocto,Azure,Bash,Python,C",
Embedded Software Engineer,JPEmbedded,Embedded,0,Mid,12000,17000,"C,C++,Python","FreeRTOS,Linux,Proactivity,Communication skills,Problem solving"
System and Network Admin - Remote,CodiLime,Sys. Administrator,1,Mid,10500,18500,"Linux,AWS,Problem-solving skills,system administration,Network management,Communication skills","Python,Ansible,Terraform,Atlassian Stack,Jira,Confluence,Trello,Opsgenie,Zendesk,Git,PostgreSQL,Kubernetes"
Młodszy inżynier wsparcia technicznego,ESMETRIC Group Sp. z o.o.,Telecommunication,0,Junior,6000,8000,,"OSI,Linux,Python,Wireshark,TCP/IP,Testing"
Inżynier Infrastruktury,AVENGA,DevOps,0,Mid,18480,23520,"Linux,RHEL,SQL,PostgreSQL,Python,Kubernetes,Continuous integration,Git,Ansible",
DevOps Engineer,Sollers Consulting,DevOps,0,Mid,13550,19000,"Cloud,Kubernetes,Terraform,Jenkins","Bash,PowerShell,Python,Oracle DB,PostgreSQL,MySQL"
Młodszy inżynier ds. wdrożeń,ESMETRIC Group Sp. z o.o.,Electrical Engineering,0,Junior,6000,8000,,"OSI,Linux,Python,SQL"
SysOps Engineer,Naviteq,DevOps,1,Senior,24204,28238,"k8,WebLogic,Oracle,Ansible,PowerShell,Python,Bash",
Devops/SRE- 100% remote,AVENGA,DevOps,1,Mid,21840,28560,"Kubernetes,Terraform,Jenkins,Docker,Ansible","Go,Python,GCP"
